Category,Parameter,Classification,Meaning,DecisionRule,debug,small,default,final_experiment
experiments,experiments.reinforce_check.jax.fallback_to_cpu,Experiment-Specific Override,reinforce_check override of whether JAX may fall back to CPU when the target platform is unavailable..,Only valid when this experiment's semantics intentionally diverge from the profile root.,True,True,True,True
experiments,experiments.reinforce_check.jax.platform,Experiment-Specific Override,reinforce_check override of requested JAX backend selection policy..,Only valid when this experiment's semantics intentionally diverge from the profile root.,auto,auto,auto,auto
experiments,experiments.reinforce_check.jax.precision,Experiment-Specific Override,reinforce_check override of requested JAX floating-point precision..,Only valid when this experiment's semantics intentionally diverge from the profile root.,float32,float32,float32,float32
experiments,experiments.reinforce_check.neural.actor_lr,Experiment-Specific Override,reinforce_check override of actor network learning rate..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.0003,0.0003,0.0003,0.0003
experiments,experiments.reinforce_check.neural.clip_global_norm,Experiment-Specific Override,reinforce_check override of gradient clipping threshold for neural optimization..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.5,0.5,0.5,0.5
experiments,experiments.reinforce_check.neural.critic_lr,Experiment-Specific Override,reinforce_check override of critic/value network learning rate..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.003,0.003,0.003,0.003
experiments,experiments.reinforce_check.neural.entropy_bonus,Experiment-Specific Override,reinforce_check override of base entropy regularization coefficient..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.01,0.01,0.01,0.01
experiments,experiments.reinforce_check.neural.entropy_final,Experiment-Specific Override,reinforce_check override of final-stage entropy regularization coefficient..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.001,0.001,0.001,0.001
experiments,experiments.reinforce_check.neural.hidden_size,Experiment-Specific Override,reinforce_check override of width of the neural routing/value networks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,128,128,128,128
experiments,experiments.reinforce_check.neural.init_type,Experiment-Specific Override,reinforce_check override of network initialization regime..,Only valid when this experiment's semantics intentionally diverge from the profile root.,zero_final,zero_final,zero_final,zero_final
experiments,experiments.reinforce_check.neural.lr_decay_rate,Experiment-Specific Override,reinforce_check override of learning-rate decay factor..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.9,0.9,0.9,0.9
experiments,experiments.reinforce_check.neural.preprocessing,Experiment-Specific Override,reinforce_check override of input preprocessing applied before neural inference..,Only valid when this experiment's semantics intentionally diverge from the profile root.,log1p,log1p,log1p,log1p
experiments,experiments.reinforce_check.neural.rho_input_scale,Experiment-Specific Override,reinforce_check override of scaling applied to the rho input feature..,Only valid when this experiment's semantics intentionally diverge from the profile root.,10.0,10.0,10.0,10.0
experiments,experiments.reinforce_check.neural.use_rho,Experiment-Specific Override,reinforce_check override of whether load factor rho is fed to the neural model..,Only valid when this experiment's semantics intentionally diverge from the profile root.,True,True,True,True
experiments,experiments.reinforce_check.neural.use_service_rates,Experiment-Specific Override,reinforce_check override of whether service rates are fed to the neural model..,Only valid when this experiment's semantics intentionally diverge from the profile root.,True,True,True,True
experiments,experiments.reinforce_check.neural.weight_decay,Experiment-Specific Override,reinforce_check override of weight decay used by neural optimizers..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.0001,0.0001,0.0001,0.0001
experiments,experiments.reinforce_check.system.alpha,Experiment-Specific Override,reinforce_check override of inverse temperature alpha used by the routing policy..,Only valid when this experiment's semantics intentionally diverge from the profile root.,1.0,1.0,1.0,1.0
experiments,experiments.reinforce_check.system.arrival_rate,Experiment-Specific Override,reinforce_check override of poisson arrival rate lambda of the modeled system..,Only valid when this experiment's semantics intentionally diverge from the profile root.,1.0,1.0,1.0,1.0
experiments,experiments.reinforce_check.system.num_servers,Experiment-Specific Override,reinforce_check override of number of parallel servers in the modeled queueing system..,Only valid when this experiment's semantics intentionally diverge from the profile root.,2,2,2,2
experiments,experiments.reinforce_check.system.service_rates,Experiment-Specific Override,reinforce_check override of per-server service rates of the modeled system..,Only valid when this experiment's semantics intentionally diverge from the profile root.,"[1.0, 1.5]","[1.0, 1.5]","[1.0, 1.5]","[1.0, 1.5]"
experiments,experiments.reinforce_check.verification.gradient_check_chunk_size,Experiment-Specific Override,reinforce_check override of chunk size used during gradient verification..,Only valid when this experiment's semantics intentionally diverge from the profile root.,500,500,500,500
experiments,experiments.reinforce_check.verification.gradient_check_cosine_threshold,Experiment-Specific Override,reinforce_check override of minimum cosine similarity accepted by gradient verification..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.9,0.9,0.9,0.9
experiments,experiments.reinforce_check.verification.gradient_check_epsilon,Experiment-Specific Override,reinforce_check override of finite-difference epsilon used in gradient checks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.05,0.05,0.05,0.05
experiments,experiments.reinforce_check.verification.gradient_check_error_threshold,Experiment-Specific Override,reinforce_check override of maximum allowed relative error in gradient verification..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.4,0.4,0.4,0.4
experiments,experiments.reinforce_check.verification.gradient_check_hidden_size,Experiment-Specific Override,reinforce_check override of optional hidden-size override used in gradient checks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,null,null,null,null
experiments,experiments.reinforce_check.verification.gradient_check_max_steps,Experiment-Specific Override,reinforce_check override of maximum optimization or evaluation steps used in gradient checks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,100,100,100,100
experiments,experiments.reinforce_check.verification.gradient_check_n_samples,Experiment-Specific Override,reinforce_check override of number of Monte Carlo samples used in gradient checks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,5000,5000,5000,5000
experiments,experiments.reinforce_check.verification.gradient_check_n_test,Experiment-Specific Override,reinforce_check override of number of test points used in gradient checks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,50,50,50,50
experiments,experiments.reinforce_check.verification.gradient_check_sim_time,Experiment-Specific Override,reinforce_check override of simulation horizon used inside gradient checks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,10.0,10.0,10.0,10.0
experiments,experiments.reinforce_check.verification.gradient_shake_scale,Experiment-Specific Override,reinforce_check override of perturbation scale used in gradient robustness checks..,Only valid when this experiment's semantics intentionally diverge from the profile root.,0.1,0.1,0.1,0.1
experiments,experiments.stats.simulation.num_replications,Experiment-Specific Override,stats override of number of independent Monte Carlo replications..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,30,30
experiments,experiments.stress.jax.enabled,Experiment-Specific Override,stress override of whether JAX acceleration is enabled at the root profile level..,Only valid when this experiment's semantics intentionally diverge from the profile root.,True,True,True,True
experiments,experiments.sweep.jax.enabled,Experiment-Specific Override,sweep override of whether JAX acceleration is enabled at the root profile level..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,True,True,N/A
experiments,experiments.sweep.jax.fallback_to_cpu,Experiment-Specific Override,sweep override of whether JAX may fall back to CPU when the target platform is unavailable..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,True,True,N/A
experiments,experiments.sweep.jax.platform,Experiment-Specific Override,sweep override of requested JAX backend selection policy..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,auto,auto,N/A
experiments,experiments.sweep.jax.precision,Experiment-Specific Override,sweep override of requested JAX floating-point precision..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,float32,float32,N/A
experiments,experiments.sweep.wandb.enabled,Experiment-Specific Override,sweep override of whether W&B logging is enabled..,Only valid when this experiment's semantics intentionally diverge from the profile root.,True,True,True,True
experiments,experiments.sweep.wandb.group,Experiment-Specific Override,sweep override of optional W&B grouping label at the root profile level..,Only valid when this experiment's semantics intentionally diverge from the profile root.,stability_sweep,stability_sweep,stability_sweep,stability_sweep
experiments,experiments.sweep.wandb.mode,Experiment-Specific Override,sweep override of w&B online or offline mode..,Only valid when this experiment's semantics intentionally diverge from the profile root.,offline,offline,offline,offline
experiments,experiments.sweep.wandb.project,Experiment-Specific Override,sweep override of w&B project name used for logging runs..,Only valid when this experiment's semantics intentionally diverge from the profile root.,GibbsQ-Paper,GibbsQ-Paper,GibbsQ-Paper,GibbsQ-Paper
experiments,experiments.drift.simulation.dga.sim_steps,Experiment-Specific Override,drift override of number of differentiable approximation steps..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,5000,N/A
experiments,experiments.drift.simulation.dga.temperature,Experiment-Specific Override,drift override of relaxation temperature for differentiable event selection..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,0.5,N/A
experiments,experiments.drift.simulation.ssa.sample_interval,Experiment-Specific Override,drift override of sampling interval for SSA trajectory snapshots..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,1.0,N/A
experiments,experiments.drift.simulation.ssa.sim_time,Experiment-Specific Override,drift override of continuous-time SSA horizon per trajectory..,Only valid when this experiment's semantics intentionally diverge from the profile root.,N/A,N/A,50000.0,N/A
